arm,concurrency,run,completed,output_throughput,median_tpot_ms,interactivity_tok_s_user,p99_tpot_ms,median_ttft_ms,spec_decode_acceptance_length,spec_decode_draft_tokens,spec_decode_num_drafts,result_path
adaptive_k8,64,1,160,4694.946354731358,11.093431199623753,90.14343551649883,14.623075285397672,108.82204724475741,2.155942187458664,907208,113401,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c64/run=1.json
adaptive_k8,64,2,160,4627.1399563340765,11.085427803649031,90.20851677648618,14.75123366956161,107.13737504556775,2.1564780182721197,913304,114163,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c64/run=2.json
adaptive_k8,128,0,256,5853.415113849768,16.731195068109425,59.76859369155613,23.463411666221894,247.42567911744118,2.1760202329999316,1398112,174764,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c128/run=0.json
adaptive_k8,128,1,256,5936.333534120495,16.65765919331463,60.03244443861231,22.437549928542076,229.0513957850635,2.203873728029602,1383680,172960,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c128/run=1.json
adaptive_k8,128,2,256,5954.2701003360335,16.72142010453242,59.803533058113004,22.840613534801818,236.68199498206377,2.2045432150288953,1380168,172521,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k8-BENCH--c128/run=2.json
fixed_k1,1,0,16,172.39016635072392,5.701329820467733,175.39767589133453,6.444278889810379,27.306328527629375,1.6264666281977305,15597,15597,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c1/run=0.json
fixed_k1,1,1,16,172.74720242491304,5.723230258671318,174.7265014342016,6.3593003757591,26.061336044222116,1.6292304783512952,15867,15867,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c1/run=1.json
fixed_k1,1,2,16,173.28529393179156,5.724559868573732,174.68591873581872,6.413350191898189,25.821279734373093,1.6346082205389296,16106,16106,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c1/run=2.json
fixed_k1,8,0,48,1150.8389857264642,6.395262052975213,156.36575823109212,7.123014293031439,42.160829063504934,1.608312707650456,44847,44847,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c8/run=0.json
fixed_k1,8,1,48,1169.9523670818214,6.125751511308919,163.24527662505938,6.966389708315086,42.21872054040432,1.6128886779017328,42130,42130,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c8/run=1.json
fixed_k1,8,2,48,1196.4003822160992,6.157372297171197,162.40694110041346,6.860456426567989,42.47949505224824,1.6098671476332922,45464,45464,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c8/run=2.json
fixed_k1,16,0,64,1921.03164459571,7.216833528748374,138.5649254643998,8.075376358557122,57.33433272689581,1.6096907957031377,61254,61254,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c16/run=0.json
fixed_k1,16,1,64,1919.1057622899723,7.187947038284484,139.1217818764933,7.8758271266851265,55.942879524081945,1.6100571500543162,63517,63517,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c16/run=1.json
fixed_k1,16,2,64,1934.3515649807307,7.151357805457386,139.8335850622485,8.00464892402758,55.452910251915455,1.6105662059741417,62804,62804,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c16/run=2.json
fixed_k1,32,0,96,3187.0564717298344,8.151036166921772,122.68378884860827,9.352820265290685,70.06902107968926,1.613386482106093,91316,91316,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c32/run=0.json
fixed_k1,32,1,96,3192.004066704469,8.162670168465137,122.50893143561066,9.154227045671096,69.92094963788986,1.6169377082459895,90638,90638,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c32/run=1.json
fixed_k1,32,2,96,3196.913958685948,8.199682302953166,121.95594451748988,9.00692147858856,69.95073985308409,1.6153501901991496,89380,89380,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c32/run=2.json
fixed_k1,64,0,160,5215.800580291536,9.981376330605002,100.18658418216228,11.60878040915631,82.43179600685835,1.6211118266862306,150617,150617,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c64/run=0.json
fixed_k1,64,1,160,5204.182931572243,10.012010746896209,99.88003661602208,11.636602352098128,82.06844236701727,1.6185850875571168,151444,151444,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c64/run=1.json
fixed_k1,64,2,160,5227.566517293384,10.025105883382203,99.74956989308393,11.59408619633271,81.91574551165104,1.6145588528181638,150630,150630,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--fixed_k1-BENCH--c64/run=2.json
